SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-870704831,12/31/2017 11:59:58 PM,04/09/2018 09:25:28 AM,SR Created,BOS,Homeless Encampment,Closed,Call,,N,NC,01/05/2018 12:00:00 AM,04/09/2018 09:18:35 AM,Y,N,"2111 W BELLEVUE AVE, 90026",2111,W,BELLEVUE,AVE,90026,34.073216645,-118.266861909,"(34.073216645, -118.266861909)",634,D,1,East Los Angeles APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART
1-870694601,12/31/2017 11:56:39 PM,01/03/2018 10:11:23 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,Y,NC,01/03/2018 12:00:00 AM,01/03/2018 10:11:23 AM,Y,N,"6122 E MESA AVE, 90042",6122,E,MESA,AVE,90042,34.1159756752,-118.190273984,"(34.1159756752, -118.190273984)",595,D,2,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870693641,12/31/2017 11:53:39 PM,01/03/2018 10:12:06 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,Y,NC,01/03/2018 12:00:00 AM,01/03/2018 10:12:06 AM,Y,N,"6115 E MESA AVE, 90042",6115,E,MESA,AVE,90042,34.11613625,-118.190596311,"(34.11613625, -118.190596311)",595,D,2,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870703871,12/31/2017 11:51:08 PM,01/03/2018 10:11:36 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,Y,NC,01/03/2018 12:00:00 AM,01/03/2018 10:11:36 AM,Y,N,"6115 E MESA AVE, 90042",6115,E,MESA,AVE,90042,34.11613625,-118.190596311,"(34.11613625, -118.190596311)",595,D,2,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870699049,12/31/2017 11:50:59 PM,01/02/2018 08:28:48 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Android,N,EV,01/02/2018 12:00:00 AM,01/02/2018 08:28:47 PM,Y,,"10739 N FLORALITA AVE, 91040",10739,N,FLORALITA,AVE,91040,34.2645708471,-118.318591887,"(34.2645708471, -118.318591887)",503,F,3,North Valley APC,7,Monica Rodriguez,10,SUNLAND-TUJUNGA NC,FOOTHILL
1-870699071,12/31/2017 11:50:56 PM,01/02/2018 02:40:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,SLA,01/02/2018 12:00:00 AM,01/02/2018 02:40:00 PM,Y,N,"1536 S 6TH AVE, 90019",1536,S,6TH,AVE,90019,34.044349094,-118.323568528,"(34.044349094, -118.323568528)",633,F,5,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",WILSHIRE
1-870693501,12/31/2017 11:46:28 PM,01/03/2018 10:12:00 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,Y,NC,01/03/2018 12:00:00 AM,01/03/2018 10:12:00 AM,Y,N,"6109 E MESA AVE, 90042",6109,E,MESA,AVE,90042,34.1159955663,-118.190881874,"(34.1159955663, -118.190881874)",595,C,2,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870693311,12/31/2017 11:41:12 PM,01/04/2018 09:12:16 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,WV,01/04/2018 12:00:00 AM,01/04/2018 09:12:15 AM,Y,N,"6429 N MONTGOMERY AVE, 91406",6429,N,MONTGOMERY,AVE,91406,34.1875414878,-118.482721429,"(34.1875414878, -118.482721429)",531,F,6,South Valley APC,6,Nury Martinez,19,LAKE BALBOA NC,WEST VALLEY
1-870692591,12/31/2017 11:18:48 PM,01/02/2018 01:29:41 PM,SR Created,BOS,Dead Animal Removal,Closed,Self Service,,N,EV,,01/02/2018 01:29:41 PM,Y,N,"DEVONSHIRE ST AT BURNET AVE, 91345",,,,,91345,34.2572524836,-118.463054663,"(34.2572524836, -118.463054663)",501,H,4,North Valley APC,7,Monica Rodriguez,101,MISSION HILLS NC,MISSION
1-870693181,12/31/2017 11:14:35 PM,01/06/2018 08:51:07 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,WLA,01/06/2018 12:00:00 AM,01/06/2018 08:51:07 AM,Y,N,"11143 W VENICE BLVD, 90034",11143,W,VENICE,BLVD,90034,34.0132764326,-118.417076813,"(34.0132764326, -118.417076813)",672,E,2,West Los Angeles APC,5,Paul Koretz,115,PALMS NC,PACIFIC
