,NAME,NC_ID,total_population,area,pop_density
0,ARLETA NC,6,35585,3.284867961994235,10833.007722598517
1,ARROYO SECO NC,42,19479,3.0633266756682267,6358.773340995667
2,ARTS DISTRICT LITTLE TOKYO NC,46,4153,0.8792155192230194,4723.528997384044
3,ATWATER VILLAGE NC,37,14665,8.748449813129598,1676.2969798364613
4,BEL AIR-BEVERLY CREST NC,64,24732,17.0387557940305,1451.5144356177002
5,BOYLE HEIGHTS NC,50,87817,5.7358805166542775,15310.11668479165
6,CANOGA PARK NC,13,54184,3.6898919625417737,14684.44077768485
7,CENTRAL ALAMEDA NC,110,30219,1.3580140935131269,22252.346381637824
8,CENTRAL HOLLYWOOD NC,32,18204,1.2291265140114114,14810.517707073881
9,CENTRAL SAN PEDRO NC,95,29244,2.438024502732777,11994.957379312822
10,CHATSWORTH NC,99,41153,11.394105770696552,3611.7797068232944
11,COASTAL SAN PEDRO NC,96,28209,4.713195626491532,5985.111214447632
12,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),86,48501,2.550243260865444,19018.185733207596
13,DEL REY NC,70,34235,3.027096499208909,11309.517225151843
14,DOWNTOWN LOS ANGELES,52,50250,5.030841627077173,9988.388370157129
15,EAGLE ROCK NC,40,31518,4.152284744724445,7590.519903540866
16,EAST HOLLYWOOD NC,34,42741,1.698735094894686,25160.485662804153
17,ECHO PARK NC,44,42361,4.093225564587944,10349.050970090966
18,ELYSIAN VALLEY RIVERSIDE NC,43,6926,0.7239412265906852,9567.074985654803
19,EMPOWERMENT CONGRESS CENTRAL AREA NC,81,51301,3.1579358494377168,16245.105171827461
20,EMPOWERMENT CONGRESS NORTH AREA NC,77,78270,3.8231345460492134,20472.72965605759
21,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,87,85528,4.2130227544452525,20300.863533138418
22,EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,84,30229,2.671446596473429,11315.59209901678
23,EMPOWERMENT CONGRESS WEST AREA NDC,79,41645,3.266592955244587,12748.757059901825
24,ENCINO NC,18,50445,13.56426009930638,3718.96436891383
25,FOOTHILL TRAILS DISTRICT NC,9,23882,19.657048863925233,1214.9331349441995
26,GLASSELL PARK NC,39,22120,2.5461755569940414,8687.539215133454
27,GRANADA HILLS NORTH NC,4,26351,11.5795565339815,2275.6484605148785
28,GRANADA HILLS SOUTH NC,118,38583,4.525453819231437,8525.774771148277
29,GREATER CYPRESS PARK NC,102,10620,1.312684447685633,8090.291630043995
30,GREATER TOLUCA LAKE NC,28,12027,1.490719980865047,8067.913595027334
31,GREATER VALLEY GLEN,21,44066,3.803268555499703,11586.349834875193
32,GREATER WILSHIRE NC,119,45702,3.9964997281122576,11435.506845783595
33,HARBOR CITY NC,92,25688,2.5580467101572975,10042.037112926844
34,HARBOR GATEWAY NORTH NC,90,37928,3.1397365873075835,12079.994275100758
35,HARBOR GATEWAY SOUTH NC,91,23167,3.407868697100549,6798.0905542841865
36,HERMON NC,126,2649,0.9193427391822343,2881.406342923114
37,HISTORIC CULTURAL NORTH NC,128,26289,1.4301877911686234,18381.502179178126
38,HISTORIC HIGHLAND PARK NC,41,47327,4.10459937761168,11530.23611954497
39,HOLLYWOOD HILLS WEST NC,29,36653,7.869001928076645,4657.896939791294
40,HOLLYWOOD STUDIO DISTRICT NC,33,24286,1.2641512027322825,19211.309491704214
41,HOLLYWOOD UNITED NC,30,22884,9.090168852328091,2517.4449860894674
42,LA-32 NC,48,45581,5.103433637799014,8931.437779929272
43,LAKE BALBOA NC,19,44375,8.912512028576387,4978.955412090267
44,LINCOLN HEIGHTS NC,47,31741,3.148339505616884,10081.822479237571
45,LOS FELIZ NC,36,34513,9.329717848899218,3699.2544210832775
46,MACARTHUR PARK NC,54,27222,0.6351726356147361,42857.639755928496
47,MAR VISTA NC,67,51439,4.165722915655796,12348.156860524681
48,MID CITY NC,73,26221,1.8549930336639733,14135.363057514242
49,MID CITY WEST CC,58,57588,4.130609555352556,13941.767971116009
50,MISSION HILLS NC,101,22679,3.5919176510778628,6313.8975341471105
51,NC VALLEY VILLAGE,25,24958,1.965464768310224,12698.268828017319
52,NOHO NC,24,49744,3.5370004958266534,14063.893985509332
53,NOHO WEST NC,22,17395,2.368326560024858,7344.848592086651
54,NORTH HILLS EAST NC,112,41776,1.9320086537130097,21623.091552780188
55,NORTH HILLS WEST NC,111,14948,2.3831474584309538,6272.377291265749
56,NORTH HOLLYWOOD NORTH EAST NC,23,45694,4.227989497945983,10807.500828041033
57,NORTH WESTWOOD NC,127,29080,1.100661960693561,26420.46426468286
58,NORTHRIDGE EAST NC,120,25977,4.217272311047183,6159.668639834571
59,NORTHRIDGE SOUTH NC,124,33314,4.300377437234516,7746.761879911533
60,NORTHRIDGE WEST NC,113,22126,4.053988741883144,5457.834594213035
61,NORTHWEST SAN PEDRO NC,94,21927,3.285959767045648,6672.936236134809
62,OLYMPIC PARK NC,104,16618,1.1466943625255142,14492.09182767762
63,P.I.C.O. NC,60,21376,1.8059309135936625,11836.554676094123
64,PACOIMA NC,7,71182,7.7662000258513615,9165.615070826965
65,PALMS NC,115,26126,0.9835601703068132,26562.686034602455
66,PANORAMA CITY NC,100,67612,3.598780714643893,18787.474247841285
67,PARK MESA HEIGHTS NC,80,36365,2.8327353390712533,12837.415306126943
68,PICO UNION NC,76,38428,1.6136557964727074,23814.248419024567
69,PORTER RANCH NC,114,23138,5.715199983147212,4048.5022515797436
70,RAMPART VILLAGE NC,53,24441,0.8204665281933485,29789.14941700134
71,RESEDA NC,15,71740,5.872971917099363,12215.28061306176
72,SHERMAN OAKS NC,26,70051,8.66903788248244,8080.596826269768
73,SILVER LAKE NC,38,30626,2.84072498837214,10781.050656209436
74,SOUTH CENTRAL NC,78,47406,2.601553338195643,18222.190298385092
75,SOUTH ROBERTSON NC,61,42046,3.1007299251527947,13560.032964795571
76,STUDIO CITY NC,27,37985,6.151966357669903,6174.448589537974
77,SUN VALLEY AREA NC,8,46956,8.290452025971472,5663.864871650073
78,SUNLAND-TUJUNGA NC,10,41143,12.010441470528349,3425.602639250036
79,SYLMAR NC,5,81681,12.34289297003341,6617.654402278991
80,TARZANA NC,17,35251,7.905751988901066,4458.90537035428
81,UNITED NEIGHBORHOODS NC,74,52607,2.7719364754237774,18978.429147427476
82,VAN NUYS NC,20,89263,5.968280950444566,14956.232915501569
83,VENICE NC,68,35308,3.235079784139022,10914.104861681735
84,VOICES NC,109,49966,2.1797635642115583,22922.66960525748
85,WATTS NC,88,41516,1.9779787990696387,20989.102623105693
86,WEST ADAMS NC,75,26678,2.1490184755691377,12414.039387416016
87,WEST HILLS NC,11,41676,9.463529560653647,4403.853734792099
88,WEST LOS ANGELES SAWTELLE NC,66,34373,1.8623776904536944,18456.514044488144
89,WESTCHESTER/PLAYA NC,71,61908,14.276738734470005,4336.284438022828
90,WESTLAKE NORTH NC,97,25405,0.505648144037603,50242.446846815146
91,WESTLAKE SOUTH NC,121,24368,0.5446985635805113,44736.670204929214
92,WESTSIDE NC,62,32597,3.8034891462370064,8570.288686704927
93,WESTWOOD NC,63,25963,2.949047067463218,8803.860842524116
94,WILMINGTON NC,93,54503,16.559332357059233,3291.3766584777436
95,WILSHIRE CENTER - KOREATOWN NC,55,93939,2.4011498211259914,39122.50671469904
96,WINNETKA NC,14,49826,4.413964495241489,11288.264790918762
97,WOODLAND HILLS-WARNER CENTER NC,16,80737,15.565239897324425,5187.006466497071
98,ZAPATA-KING NC,125,54749,2.1014205693475096,26053.328304956845
