,name,waddress,certified,objectid,service_re,nc_id,dwebsite,centroid,shortname
0,LINCOLN HEIGHTS NC,http://www.lincolnheightsnc.org/,2002-04-27T00:00:00,1,REGION 8 - NORTH EAST LA,47,http://empowerla.org/LHNC,POINT (-118.2115805611637 34.07091363039746),Lincoln Heights
1,VOICES OF 90037,https://www.voicesnc.org,2008-06-16T00:00:00,2,REGION 9 - SOUTH LA 2,109,https://empowerla.org/voicesof90037/,POINT (-118.2903494855091 33.99670591462755),Voices Of 90037
2,LOS FELIZ NC,http://www.losfeliznc.org/,2002-06-11T00:00:00,3,REGION 7 - EAST,36,http://empowerla.org/LFNC,POINT (-118.2937601975046 34.12783336660284),Los Feliz
3,MISSION HILLS NC,http://mhnconline.org/,2005-04-19T00:00:00,4,REGION 1 - NORTH EAST VALLEY,101,http://empowerla.org/MHNC,POINT (-118.4579592716846 34.26736181684346),Mission Hills
4,GREATER TOLUCA LAKE NC,http://www.gtlnc.org/,2002-09-10T00:00:00,5,REGION 4 - SOUTH EAST VALLEY,28,http://empowerla.org/GTLNC,POINT (-118.3596529513454 34.15260014395083),Greater Toluca Lake
5,SOUTH CENTRAL NC,https://www.southcentralnc.org/,2003-06-24T00:00:00,6,REGION 9 - SOUTH LA 2,78,https://empowerla.org/southcentralnc/,POINT (-118.2605488204562 34.01856723948035),South Central
6,SUNLAND-TUJUNGA NC,http://stnc.org/,2003-05-27T00:00:00,7,REGION 1 - NORTH EAST VALLEY,10,http://empowerla.org/STNC,POINT (-118.2866666166133 34.2603659251053),Sunland-Tujunga
7,PICO UNION NC,http://www.picounionnc.org/,2003-06-03T00:00:00,8,REGION 6 - CENTRAL 2,76,http://empowerla.org/PUNC,POINT (-118.2869861988439 34.04469810429748),Pico Union
8,FOOTHILL TRAILS DISTRICT NC,http://www.ftdnc.org/,2003-03-25T00:00:00,9,REGION 1 - NORTH EAST VALLEY,9,http://empowerla.org/FTDNC,POINT (-118.3437870787592 34.25558075210355),Foothill Trails District
9,TARZANA NC,http://www.tarzananc.org/,2003-01-14T00:00:00,10,REGION 3 - SOUTH WEST VALLEY,17,http://empowerla.org/TNC,POINT (-118.5473571788664 34.15824713342111),Tarzana
10,PACOIMA NC,http://pacoimanc.com/,2002-03-07T00:00:00,11,REGION 1 - NORTH EAST VALLEY,7,http://empowerla.org/PNC,POINT (-118.4104427845714 34.26587249489361),Pacoima
11,WEST ADAMS NC,http://www.westadamsnc.org/,2002-02-19T00:00:00,17,REGION 10 - SOUTH LA 1,75,http://empowerla.org/WANC,POINT (-118.3538755305511 34.02735632587908),West Adams
12,RESEDA NC,http://www.resedacouncil.org/,2002-10-08T00:00:00,12,REGION 3 - SOUTH WEST VALLEY,15,http://empowerla.org/RNC,POINT (-118.5403533301718 34.20362401185736),Reseda
13,NORTH HOLLYWOOD NORTHEAST NC,http://www.nhnenc.org/,2002-09-24T00:00:00,14,REGION 4 - SOUTH EAST VALLEY,23,http://empowerla.org/NHNENC,POINT (-118.390762933733 34.20608871520223),North Hollywood Northeast
14,NOHO NC,http://www.midtownnoho.org/,2002-09-24T00:00:00,13,REGION 4 - SOUTH EAST VALLEY,24,http://empowerla.org/NOHONC,POINT (-118.3764662155099 34.17782595734782),Noho
15,WILMINGTON NC,http://www.wilmingtonneighborhoodcouncil.com/,2001-12-11T00:00:00,15,REGION 12 - HARBOR,93,http://empowerla.org/WILMINGTON,POINT (-118.260825355064 33.77008189173233),Wilmington
