council_id,council_name,waddress,dwebsite,certified,region_id,service_re,centroid,latitude,longitude
4,Granada Hills North,http://ghnnc.org/,http://empowerla.org/GHNNC,2002-09-10T00:00:00+00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5053461351036 34.29817509276458),34.29817579468393,-118.5053487873182
5,Sylmar,http://www.sylmarneighborhoodcouncil.org/,http://empowerla.org/SNC,2003-05-06T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4483881639365 34.31282490262189),34.312822074361726,-118.44838895970857
6,Arleta,http://www.arletanc.org/,http://empowerla.org/ANC,2002-10-22T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4313992131674 34.2408719480275),34.24087232354362,-118.43140067790534
7,Pacoima,http://pacoimanc.com/,http://empowerla.org/PNC,2002-03-07T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4092862555526 34.26562531155052),34.26562498482831,-118.40928661027813
8,Sun Valley Area,http://svanc.org/,http://empowerla.org/SVANC,2002-05-07T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.3797492899032 34.22747498025985),34.227475269986094,-118.37975216843304
9,Foothill Trails District,http://www.ftdnc.org/,http://empowerla.org/FTDNC,2003-03-25T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.343918167822 34.25507719940722),34.25507662721705,-118.34392371845664
10,Sunland-Tujunga,http://stnc.org/,http://empowerla.org/STNC,2003-05-27T00:00:00+00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.2866183965299 34.2604786540355),34.26047854523262,-118.28661722267282
11,West Hills,http://www.westhillsnc.org/,http://empowerla.org/WHNC,2002-01-22T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.6362540379079 34.21006613709026),34.21006691601551,-118.63625242011952
13,Canoga Park,http://www.canogaparknc.org/,http://empowerla.org/CPNC,2002-06-18T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.6002350770828 34.21234793902701),34.21234895777506,-118.60023461330064
14,Winnetka,http://www.winnetkanc.com/,http://empowerla.org/WINNETKA,2003-07-22T00:00:00+00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.5759564542218 34.21027959679627),34.210281197981715,-118.57595664807151
