council_id,council_name,full_name,website,twitter,date_certified,region_id,region_name,centroid,latitude,longitude,data_code
0,No council,Not represented by a council,http://empowerla.org/,EmpowerLA,,0,,,0,0,0
1,Arleta,Arleta,http://www.arletanc.org/,ANC,2002-10-22T00:00:00,1,REGION 1 - NORTH EAST VALLEY,POINT (-118.4315728171109 34.24101484950965),34.2410156,-118.4315742,6
2,Arroyo Seco,Arroyo Seco,http://www.asnc.us/,ASNC,2002-10-02T00:00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2065373221429 34.09882706073255),34.0988273,-118.2065382,42
3,Atwater Village,Atwater Village,http://www.atwatervillage.org/,AVNC,2003-02-11T00:00:00,7,REGION 7 - EAST,POINT (-118.2654037665078 34.12595764634551),34.12595919,-118.2654058,37
4,Bel Air-Beverly Crest,Bel Air-Beverly Crest,http://babcnc.org/,BABCNC,2002-10-08T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4336115726619 34.1062984158306),34.1062971,-118.4336104,64
5,Boyle Heights,Boyle Heights,http://bhnc.net/,BHNC,2002-05-21T00:00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2096791355992 34.03587461444661),34.03587596,-118.2096796,50
6,CANNDU,Community And Neighbors For Ninth District Unity (Canndu),http://www.canndunc.org/,CANNDU,2003-03-11T00:00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2686005783438 33.97592737752986),33.97592787,-118.2686005,86
7,Canoga Park,Canoga Park,http://www.canogaparknc.org/,CPNC,2002-06-18T00:00:00,3,REGION 3 - SOUTH WEST VALLEY,POINT (-118.6002334786793 34.21233979560296),34.21234113,-118.600233,13
8,Central Alameda,Central Alameda,https://centralalameda.com/,CANC,2003-09-30T00:00:00,9,REGION 9 - SOUTH LA 2,POINT (-118.2477168236647 33.9989324482445),33.9989327,-118.2477169,110
9,Central Hollywood,Central Hollywood,http://www.chnc.org/,CHNC,2002-04-09T00:00:00,5,REGION 5 - CENTRAL 1,POINT (-118.3335608490099 34.09378251567064),34.09378259,-118.333561,32
10,Central San Pedro,Central San Pedro,http://centralsanpedro.org/,CENTRALSPNC,2002-02-12T00:00:00,12,REGION 12 - HARBOR,POINT (-118.288111555924 33.74121993371068),33.7412204,-118.2881112,95
11,Chatsworth,Chatsworth,http://chatsworthcouncil.org/,CNC,2003-04-29T00:00:00,2,REGION 2 - NORTH WEST VALLEY,POINT (-118.5978593008302 34.25464677931477),34.25464651,-118.59786,99
12,Coastal San Pedro,Coastal San Pedro,http://www.cspnc.org/,CSPNC,2001-12-11T00:00:00,12,REGION 12 - HARBOR,POINT (-118.3009313450807 33.72051091444131),33.72051041,-118.3009318,96
13,Del Rey,Del Rey,http://delreync.org/,DRNC,2003-10-28T00:00:00,11,REGION 11 - WEST LA,POINT (-118.4215895905524 33.98825424087101),33.98825418,-118.4215891,70
14,Downtown Los Angeles,Downtown Los Angeles,http://dlanc.com/,DLANC,2002-04-27T00:00:00,6,REGION 6 - CENTRAL 2,POINT (-118.2491559958716 34.03748402516608),34.03748498,-118.2491577,52
15,Eagle Rock,Eagle Rock,http://www.eaglerockcouncil.org/,ERNC,2002-04-02T00:00:00,8,REGION 8 - NORTH EAST LA,POINT (-118.2078457711403 34.1366110205896),34.13661101,-118.2078452,40
16,East Hollywood,East Hollywood,http://easthollywood.net/,EHNC,2007-04-19T00:00:00,5,REGION 5 - CENTRAL 1,POINT (-118.2954965949871 34.09162983082791),34.09163007,-118.295497,34
17,Echo Park,Echo Park,http://gepenc.org/,GEPENC,2002-04-16T00:00:00,7,REGION 7 - EAST,POINT (-118.2513717943964 34.07865609836914),34.07865641,-118.2513711,44
18,Elysian Valley Riverside,Elysian Valley Riverside,NULL,EVRNC,2002-07-09T00:00:00,7,REGION 7 - EAST,POINT (-118.2424182757755 34.09806114190395),34.09806147,-118.2424194,43
