request_id,srnumber,created_date,closed_date,type_id,agency_id,source_id,council_id,region_id,address,latitude,longitude,city_id
1,1-1523590121,2020-01-01 00:05:00,2020-01-02 08:43:00,6,2,8,44,3,"16815 W VANOWEN ST, 91406",34.19402846,-118.4994716,6
2,1-1523591123,2020-01-01 00:21:00,2020-01-03 15:54:00,7,2,7,70,7,"132 S WESTMORELAND AVE, 90004",34.07243977,-118.2877979,13
3,1-1523593381,2020-01-01 00:02:00,2020-01-07 10:49:00,6,2,8,20,10,"1500 W SLAUSON AVE, 90047",33.98898427,-118.3026812,8
4,1-1523593502,2020-01-01 00:23:00,2020-01-02 15:31:00,1,4,7,99,9,"704 E 43RD PL, 90011",34.00466746,-118.2633146,9
5,1-1523593661,2020-01-01 00:38:00,2020-02-14 12:46:00,2,2,7,6,8,"345 S GERTRUDE ST, 90033",34.04355075,-118.2175745,14
6,1-1523593741,2020-01-01 00:43:00,2020-01-06 10:49:00,6,2,3,24,10,"MARTIN LUTHER KING, JR BLVD AT MUIRFIELD ROAD, 90008",34.01598699,-118.3431787,10
7,1-1523593781,2020-01-01 00:45:00,2020-01-06 14:17:00,6,2,3,24,10,"MARTIN LUTHER KING, JR BLVD AT WEST BLVD, 90008",34.01549357,-118.3423939,10
8,1-1523593831,2020-01-01 00:49:00,2020-01-06 10:49:00,6,2,3,24,10,"BUCKINGHAM ROAD AT MARTIN LUTHER KING,",34.01499858,-118.3416066,10
9,1-1523593896,2020-01-01 00:59:00,2020-01-09 13:05:00,1,4,7,6,8,"637 N ST LOUIS ST, 90033",34.05148298,-118.209785,14
10,1-1523594071,2020-01-01 01:07:00,2020-01-02 10:52:00,2,2,8,83,4,"VAN NUYS BLVD AT ALBERS ST, 91411",34.17028666,-118.4487458,4
11,1-1523594691,2020-01-01 00:59:00,2020-01-03 12:47:00,4,2,17,80,3,"19630 W VALDEZ DR, 91356",34.15190896,-118.5603499,3
12,1-1523594751,2020-01-01 01:03:00,2020-01-03 07:33:00,6,2,3,17,5,"5222 W HOLLYWOOD BLVD, 90027",34.10159891,-118.3041397,13
13,1-1523594841,2020-01-01 01:12:00,2020-01-01 10:50:00,3,2,17,7,9,"6916 S MAIN ST, 90003",33.97637373,-118.2738025,9
14,1-1523595121,2020-01-01 01:36:00,2020-01-02 10:42:00,4,2,7,28,2,"16256 W HORACE ST, 91344",34.27037266,-118.4868329,12
15,1-1523596201,2020-01-01 00:16:00,2020-01-02 15:13:00,1,4,7,21,10,"1848 W BROWNING BLVD, 90062",34.01172359,-118.3127642,8
16,1-1523596222,2020-01-01 00:19:00,2020-01-03 07:02:00,4,2,7,70,7,"132 S WESTMORELAND AVE, 90004",34.07243977,-118.2877979,13
17,1-1523596801,2020-01-01 01:19:00,2020-01-02 14:14:00,4,2,7,18,7,"619 N BONNIE BRAE ST, 90026",34.07271211,-118.2642905,13
18,1-1523596831,2020-01-01 01:24:00,2020-01-01 09:47:00,3,2,17,1,1,"ROSCOE BLVD AT VENTURA CANYON AVE, 91402",34.22165162,-118.4288471,6
19,1-1523597171,2020-01-01 02:04:00,2020-01-02 10:43:00,4,2,3,72,4,"4510 N COLBATH AVE, 91423",34.15332175,-118.4364797,4
20,1-1523597271,2020-01-01 00:31:00,2020-01-06 15:09:00,6,2,3,78,1,"11390 N ALETHEA DR, 91040",34.27391723,-118.309315,7
21,1-1523597452,2020-01-01 00:51:00,2020-01-02 16:03:00,11,5,7,83,4,"14162 W DELANO ST, 91401",34.18251985,-118.4421652,6
22,1-1523597491,2020-01-01 00:51:00,2020-01-03 10:18:00,6,2,8,83,4,"SEPULVEDA BLVD AT OXNARD ST, 91411",34.17936896,-118.4662164,6
23,1-1523597521,2020-01-01 00:53:00,2020-01-02 01:13:00,5,2,8,36,12,"18408 S NEW HAMPSHIRE AVE, 90248",33.863142,-118.2917642,15
24,1-1523597601,2020-01-01 00:57:00,2020-01-03 15:20:00,7,2,17,80,3,"19630 W VALDEZ DR, 91356",34.15190896,-118.5603499,3
25,1-1523597661,2020-01-01 01:00:00,2020-01-03 11:50:00,11,5,7,71,3,"7306 N VANALDEN AVE, 91335",34.20326087,-118.5490486,3
26,1-1523597691,2020-01-01 01:01:00,2020-01-03 15:20:00,7,2,17,80,3,"19630 W VALDEZ DR, 91356",34.15190896,-118.5603499,3
27,1-1523597781,2020-01-01 01:10:00,2020-01-02 08:50:00,4,2,7,47,6,"2780 W SAN MARINO ST, 90006",34.05487836,-118.2885098,1
28,1-1523597811,2020-01-01 01:12:00,2020-01-28 11:21:00,2,2,8,83,4,"5616 N SEPULVEDA BLVD, 91411",34.17248092,-118.466094,4
29,1-1523597851,2020-01-01 01:14:00,2020-01-22 09:17:00,2,2,3,62,6,"SAN VICENTE BLVD AT LONGWOOD AVE, 90019",34.0492227,-118.3418346,10
30,1-1523599241,2020-01-01 01:24:00,2020-01-06 12:34:00,7,2,8,79,1,"15235 W DORIAN ST, 91342",34.32163953,-118.4651795,7
31,1-1523599391,2020-01-01 01:40:00,2020-01-02 16:01:00,7,2,3,6,8,"649 S BOYLE AVE, 90033",34.03888728,-118.220101,14
32,1-1523599511,2020-01-01 01:51:00,2020-01-09 15:07:00,6,2,8,85,9,"945 W 54TH ST, 90037",33.99331977,-118.2908167,9
33,1-1523599571,2020-01-01 02:06:00,2020-01-02 16:05:00,11,5,7,17,5,"1149 N ARDMORE AVE, 90029",34.09193557,-118.3013781,13
34,1-1523599621,2020-01-01 02:11:00,2020-04-30 13:58:00,6,2,3,84,11,"781 E MARR ST, 90291",33.98793753,-118.4531232,11
35,1-1523599681,2020-01-01 02:18:00,2020-01-02 08:25:00,4,2,3,70,7,"530 S BENTON WAY, 90057",34.06369847,-118.2814905,1
36,1-1523599872,2020-01-01 03:13:00,2020-01-06 15:31:00,1,4,7,96,6,"4316 COUNCIL ST, 90004",34.07521547,-118.302184,10
37,1-1523599911,2020-01-01 03:28:00,2020-01-02 10:49:00,4,2,17,82,4,"4955 N WHITSETT AVE, 91607",34.16090116,-118.4053902,2
38,1-1523599951,2020-01-01 03:46:00,2020-01-03 06:47:00,4,2,8,83,4,"7439 N WOODMAN AVE, 91405",34.20596589,-118.4315175,2
39,1-1523600011,2020-01-01 03:52:00,2020-01-03 07:18:00,4,2,8,83,4,"6859 N WOODMAN AVE, 91405",34.19568668,-118.431492,2
40,1-1523600041,2020-01-01 03:53:00,2020-01-03 08:35:00,4,2,8,32,4,"13546 W VICTORY BLVD, 91401",34.18649254,-118.4284406,2
41,1-1523600061,2020-01-01 03:55:00,2020-01-03 07:19:00,4,2,8,32,4,"6501 N WOODMAN AVE, 91401",34.1884933,-118.4314082,2
42,1-1523600091,2020-01-01 03:57:00,2020-01-07 15:17:00,7,2,8,32,4,"13160 W VICTORY BLVD, 91401",34.1864924,-118.4202077,2
43,1-1523600121,2020-01-01 03:59:00,2020-01-03 07:57:00,4,2,8,32,4,"13350 W VICTORY BLVD, 91401",34.18649513,-118.4244299,2
44,1-1523600351,2020-01-01 02:01:00,2020-01-06 09:38:00,6,2,8,90,11,"83RD ST AT AIRLANE AVE, 90045",33.96348027,-118.3905578,11
45,1-1523600431,2020-01-01 02:14:00,2020-01-03 23:35:00,11,2,17,85,9,"4112 S FIGUEROA ST, 90037",34.00876351,-118.2825568,9
46,1-1523600481,2020-01-01 02:20:00,2020-01-02 08:50:00,4,2,17,29,2,"16820 W CHATSWORTH ST, 91344",34.26449633,-118.498366,12
47,1-1523600711,2020-01-01 03:03:00,2020-01-06 13:47:00,1,4,7,17,5,"5435 W SUNSET BLVD, 90027",34.09826199,-118.3083139,13
48,1-1523600761,2020-01-01 03:25:00,2020-01-01 10:50:00,3,2,7,85,9,"51ST PL AT VERMONT AVE, 90037",33.99596168,-118.2915498,9
49,1-1523600871,2020-01-01 03:47:00,2020-01-03 15:46:00,4,2,8,83,4,"13701 W GAULT ST, 91405",34.19946847,-118.4316074,2
50,1-1523600891,2020-01-01 03:50:00,2020-01-03 08:42:00,4,2,8,32,4,"13520 W VICTORY BLVD, 91401",34.18649294,-118.4274856,2
51,1-1523601001,2020-01-01 04:05:00,2020-01-03 07:55:00,4,2,8,32,4,"13357 W VICTORY BLVD, 91401",34.1868249,-118.4244964,2
52,1-1523601051,2020-01-01 05:56:00,2020-01-02 08:43:00,4,2,7,68,6,"1210 S LAKE ST, 90006",34.04891687,-118.2829553,1
53,1-1523601181,2020-01-01 06:23:00,2020-01-02 14:52:00,1,4,17,36,12,"1568 W 204TH ST, 90501",33.84555498,-118.3064513,15
54,1-1523602451,2020-01-01 02:26:00,2020-01-06 10:23:00,7,2,3,43,8,"5151 E CASTLEMAN AVE, 90032",34.07457864,-118.1743546,14
55,1-1523602491,2020-01-01 02:34:00,2020-01-07 16:53:00,5,2,3,12,2,"20129 W MAYALL ST, 91311",34.25372712,-118.5723589,12
56,1-1523602521,2020-01-01 02:40:00,2020-01-02 11:58:00,6,2,3,18,7,"1448 N MCDUFF ST, 90026",34.07845106,-118.2530381,13
57,1-1523602551,2020-01-01 02:43:00,2020-01-04 09:20:00,4,2,8,33,5,"5141 W LA VISTA CT, 90004",34.0821612,-118.3150472,4
58,1-1523602621,2020-01-01 02:56:00,2020-01-04 11:48:00,7,2,8,13,12,"2721 S DENISON AVE, 90731",33.71925721,-118.2890553,15
59,1-1523602651,2020-01-01 03:14:00,2020-01-01 10:50:00,3,2,8,67,10,"4411 S 11TH AVE, 90043",34.00326015,-118.3295196,8
60,1-1523602821,2020-01-01 04:01:00,2020-01-03 07:59:00,4,2,8,32,4,"13409 W VICTORY BLVD, 91401",34.18682287,-118.4250743,2
61,1-1523602951,2020-01-01 06:08:00,2020-01-03 07:19:00,4,2,8,32,4,"6550 N WOODMAN AVE, 91401",34.18963626,-118.4310929,2
62,1-1523603001,2020-01-01 06:11:00,2020-01-03 07:20:00,4,2,8,32,4,"6640 N WOODMAN AVE, 91401",34.19136993,-118.4310906,2
63,1-1523603051,2020-01-01 06:14:00,2020-01-03 08:24:00,4,2,8,32,4,"5712 N WOODMAN AVE, 91401",34.17430798,-118.4310788,2
64,1-1523603071,2020-01-01 06:19:00,2020-01-08 11:41:00,1,4,7,70,7,"3033 W 6TH ST, 90020",34.06383989,-118.2882115,13
65,1-1523603088,2020-01-01 06:22:00,2020-01-02 08:16:00,2,2,7,70,7,"3033 W 6TH ST, 90020",34.06383989,-118.2882115,13
66,1-1523603129,2020-01-01 06:26:00,2020-01-29 11:44:00,2,2,7,96,6,"3525 W 3RD ST, 90020",34.06919616,-118.2923915,10
67,1-1523603711,2020-01-01 04:59:00,2020-01-01 08:50:00,3,2,17,77,1,"7442 N VINELAND AVE, 91352",34.20573143,-118.3701614,2
68,1-1523603821,2020-01-01 06:09:00,2020-01-03 08:00:00,4,2,8,32,4,"13609 W VICTORY BLVD, 91401",34.1868278,-118.4294014,2
69,1-1523603927,2020-01-01 06:25:00,2020-01-02 16:24:00,11,5,7,70,7,"3029 W 6TH ST, 90020",34.0638409,-118.2880064,13
70,1-1523603977,2020-01-01 06:26:00,2020-01-08 11:31:00,1,4,7,96,6,"3525 W 3RD ST, 90020",34.06919616,-118.2923915,10
71,1-1523604061,2020-01-01 06:34:00,2020-01-03 12:02:00,2,2,7,96,6,"3RD ST AT VERMONT AVE, 90020",34.06904138,-118.2917048,10
72,1-1523604172,2020-01-01 07:11:00,2020-04-15 15:12:00,6,2,7,18,7,"445 N ALVARADO ST, 90026",34.07148765,-118.2674753,13
73,1-1523608271,2020-01-01 06:07:00,2020-01-03 07:20:00,4,2,8,32,4,"6550 N WOODMAN AVE, 91401",34.18963626,-118.4310929,2
74,1-1523608331,2020-01-01 06:10:00,2020-01-03 07:19:00,4,2,8,32,4,"6644 N WOODMAN AVE, 91401",34.19152128,-118.4310953,2
75,1-1523608391,2020-01-01 06:12:00,2020-01-03 07:43:00,4,2,8,32,4,"7024 N WOODMAN AVE, 91405",34.19824143,-118.4310964,2
