region_id,region_name,centroid,latitude,longitude
1,North East Valley,POINT (-118.3823377790717 34.26140646150563),34.26139820190836,-118.3823495731468
2,North West Valley,POINT (-118.5390924523924 34.26611065473416),34.26611026112326,-118.53908884590783
3,South West Valley,POINT (-118.5635505919051 34.18211988081492),34.18211635291857,-118.563560958392
4,South East Valley,POINT (-118.4145424454662 34.17085929126645),34.17086231519043,-118.4145443881579
5,Central 1,POINT (-118.3298532950104 34.10286924906827),34.102877205348626,-118.3298444197965
6,Central 2,POINT (-118.2691277849171 34.04989562562024),34.04989439173463,-118.26913196539034
7,East,POINT (-118.2769866979071 34.10924867831788),34.109254382139106,-118.27699522627246
8,North East LA,POINT (-118.2045882314436 34.08910819358405),34.08912118794499,-118.20458901998444
9,South LA 2,POINT (-118.2720003118427 33.97662683812651),33.976634096795756,-118.27199929804046
10,South LA 1,POINT (-118.3255812578259 34.01522729267911),34.015229648700426,-118.32558254798377
11,West LA,POINT (-118.4253415963731 34.03229788670446),34.03233933268179,-118.42535156807764
12,Harbor,POINT (-118.2776095244157 33.77753918224837),33.77757578689458,-118.27761269127245
