council_name,sum_pop20,area_sqmi,pop_density
Arleta,33954,3.27600504,10364.45292
Arroyo Seco,18922,3.06955334,6164.414787
Atwater Village,13988,8.77386305,1594.28064
Bel Air-Beverly Crest,26194,16.98412914,1542.263356
Boyle Heights,81118,5.73412962,14146.5236
CANNDU,46656,2.55457849,18263.6784
Canoga Park,53241,3.68952776,14430.30205
Central Alameda,30792,1.36782716,22511.61616
Central Hollywood,18289,1.21610041,15039.05422
Central San Pedro,28752,2.48278008,11580.56657
Chatsworth,35722,11.3805397,3138.866955
Coastal San Pedro,28608,4.75830611,6012.223539
Del Rey,32729,3.03210305,10794.1582
Downtown Los Angeles,60251,5.03741929,11960.68791
Eagle Rock,30421,4.15493777,7321.64997
East Hollywood,41513,1.68785748,24595.08607
Echo Park,40622,4.09567102,9918.277079
Elysian Valley Riverside,6100,0.73145171,8339.579929
Empowerment Congress Central,44176,2.82596416,15632.18693
Empowerment Congress North,75970,3.83539003,19807.63349
Empowerment Congress Southeast,78257,4.22970243,18501.77437
Empowerment Congress Southwest,29191,2.66570629,10950.56875
Empowerment Congress West,38667,3.26759462,11833.47523
Encino,46956,13.59418945,3454.12282
Foothill Trails District,21848,19.59428264,1115.019131
Glassell Park,21783,2.5378907,8583.111952
Granada Hills North,25880,11.58175369,2234.549334
Granada Hills South,36696,4.5190182,8120.347911
Greater Cypress Park,11994,1.27017595,9442.786253
Greater Toluca Lake,12731,1.49358174,8523.805333
Greater Valley Glen,47736,3.80591023,12542.59746
Greater Wilshire,49486,4.00147208,12366.94872
Harbor City,25404,2.56406719,9907.696686
Harbor Gateway North,35461,3.16584292,11201.12428
Harbor Gateway South,23067,3.23241499,7136.150547
Hermon,3688,0.92074174,4005.466289
Historic Cultural,8933,0.88222288,10125.5592
Historic Cultural North,18897,1.43236089,13192.9042
Historic Highland Park,51630,4.10507146,12577.12576
Hollywood Hills West,42080,7.31614972,5751.659221
Hollywood Studio District,27273,1.26641132,21535.65715
Hollywood United,20905,9.07806326,2302.803957
LA-32,43867,5.09458755,8610.51058
Lake Balboa,43415,8.92301048,4865.510368
Lincoln Heights,29913,3.15250124,9488.656062
Los Feliz,32836,9.31553788,3524.863558
Macarthur Park,29395,0.63480409,46305.62478
Mar Vista,51190,4.17227811,12269.07667
Mid City,27061,1.84936672,14632.5765
Mid City West,60501,4.12766873,14657.42625
Mission Hills,23363,3.60997347,6471.792714
Noho,52556,3.53566074,14864.54834
North Hills East,40376,1.93200673,20898.47793
North Hills West,13391,2.38304224,5619.287722
North Hollywood Northeast,49998,4.2263457,11830.07817
Noho West,20519,2.36486019,8676.622866
North Westwood,32378,1.10011677,29431.42118
Northridge East,27536,4.22320743,6520.162804
Northridge South,31779,4.27617791,7431.636538
Northridge West,22915,4.05660773,5648.808444
Northwest San Pedro,22010,3.27659265,6717.344007
Olympic Park,17846,1.14667948,15563.19818
Pacoima,73227,7.76531802,9430.006577
Palms,27602,0.98368935,28059.67148
Panorama City,67740,3.60057413,18813.66625
Park Mesa Heights,37834,2.83896715,13326.67763
P.I.C.O.,22797,1.8045416,12633.12522
Pico Union,39158,1.60428377,24408.40002
Porter Ranch,25092,5.7169386,4389.062356
Rampart Village,23171,0.82436337,28107.75059
Reseda,71077,5.91207146,12022.3513
Sherman Oaks,68703,8.66757393,7926.439458
Silver Lake,32276,2.84323132,11351.8727
South Central,42950,2.59757333,16534.66314
South Robertson,42800,3.0939629,13833.39147
Studio City,37144,6.18585123,6004.670759
Sun Valley Area,47378,8.28911388,5715.689359
Sunland-Tujunga,44637,11.99685999,3720.723592
Sylmar,83243,12.33275867,6749.746932
Tarzana,37067,7.87646723,4706.043829
UNNC,50758,2.77239641,18308.34862
Valley Village,25307,1.960898,12905.82172
Van Nuys,85818,5.9711912,14372.00671
Venice,38382,3.25638627,11786.68524
Voices,47495,2.18064964,21780.20675
Watts,41659,1.98163584,21022.53056
West Adams,25949,2.14316735,12107.78057
West Hills,39606,9.44937733,4191.387286
West Los Angeles,33953,1.87180588,18139.16729
Westchester/Playa,66454,14.4200529,4608.443565
Westlake North,24634,0.50408626,48868.62022
Westlake South,22465,0.54560687,41174.33492
Westside,33800,3.79637786,8903.223348
Westwood,24856,2.91958004,8513.553203
Wilmington,53853,16.50610352,3262.611308
Wilshire Center - Koreatown,95608,2.40625605,39733.0949
Winnetka,48554,4.41663851,10993.42857
Woodland Hills-Warner Center,80143,15.56641715,5148.455115
Zapata King,52084,2.10141537,24785.19989
