SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-870704814,01/01/2018 12:00:09 AM,01/06/2018 10:18:29 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,Android,Y,NC,01/06/2018 12:00:00 AM,01/06/2018 10:18:29 AM,Y,,"356 S BERENDO ST, 90020",356,S,BERENDO,ST,90020,34.0676390557,-118.294017712,POINT (-118.294017712 34.0676390557),634,A,2,Central APC,10,Herb J. Wesson Jr.,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-870699501,01/01/2018 12:05:43 AM,01/03/2018 12:14:43 PM,SR Created,BOS,Bulky Items,Closed,Self Service,,Y,NC,01/03/2018 12:00:00 AM,01/03/2018 12:14:42 PM,Y,N,"6125 E MESA AVE, 90042",6125,E,MESA,AVE,90042,34.1162764252,-118.190311778,POINT (-118.190311778 34.1162764252),595,D,2,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870704361,01/01/2018 12:08:27 AM,01/02/2018 10:10:08 PM,SR Created,BOS,Metal/Household Appliances,Closed,Self Service,,N,SLA,01/02/2018 12:00:00 AM,01/02/2018 10:10:08 PM,Y,N,"3971 S HILLCREST DR, 90008",3971,S,HILLCREST,DR,90008,34.0144994243,-118.345968878,POINT (-118.345968878 34.0144994243),673,D,2,South Los Angeles APC,10,Herb J. Wesson Jr.,79,EMPOWERMENT CONGRESS WEST AREA NDC,SOUTHWEST
1-870706821,01/01/2018 12:09:27 AM,01/03/2018 12:52:03 PM,SR Created,BOS,Bulky Items,Closed,Self Service,,Y,NC,01/03/2018 12:00:00 AM,01/03/2018 12:52:03 PM,Y,N,"6130 E MESA AVE, 90042",6130,E,MESA,AVE,90042,34.1161798055,-118.189859629,POINT (-118.189859629 34.1161798055),595,D,2,East Los Angeles APC,1,Gilbert Cedillo,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870705061,01/01/2018 12:10:57 AM,01/06/2018 09:56:51 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,EV,01/06/2018 12:00:00 AM,01/06/2018 09:52:36 AM,Y,,"15687 W EL CAJON ST, 91342",15687,W,EL CAJON,ST,91342,34.3011693459,-118.473260473,POINT (-118.473260473 34.3011693459),481,G,5,North Valley APC,7,Monica Rodriguez,5,SYLMAR NC,MISSION
1-870699658,01/01/2018 12:15:17 AM,02/07/2018 03:49:48 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,Android,Y,NC,01/09/2018 12:00:00 AM,02/07/2018 10:30:06 AM,Y,,"HUMBOLDT ST AT ARTESIAN PL, 90031",,,,,90031,34.0802659459,-118.217726077,POINT (-118.217726077 34.0802659459),594,J,7,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK
1-870704589,01/01/2018 12:37:21 AM,01/02/2018 01:14:24 PM,SR Created,BOS,Dead Animal Removal,Closed,Mobile App,Android,Y,NC,,01/02/2018 01:14:24 PM,Y,,"GRAND AVE AT CESAR E CHAVEZ AVE, 90012",,,,,90012,34.0606136243,-118.243927656,POINT (-118.243927656 34.0606136243),634,G,2,Central APC,1,Gilbert Cedillo,46,HISTORIC CULTURAL NC,CENTRAL
1-870705401,01/01/2018 12:45:07 AM,01/05/2018 09:59:11 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,NC,01/05/2018 12:00:00 AM,01/05/2018 09:59:11 AM,Y,N,"1426 N SERRANO AVE, 90027",1426,N,SERRANO,AVE,90027,34.0973504598,-118.306953691,POINT (-118.306953691 34.0973504598),593,H,5,Central APC,13,Mitch O'Farrell,34,EAST HOLLYWOOD NC,HOLLYWOOD
1-870704731,01/01/2018 12:50:56 AM,01/06/2018 11:38:48 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,HB,01/06/2018 12:00:00 AM,01/06/2018 11:38:48 AM,Y,N,"1215 S LELAND ST, 90731",1215,S,LELAND,ST,90731,33.7330910057,-118.301362128,POINT (-118.301362128 33.7330910057),824,A,6,Harbor APC,15,Joe Buscaino,94,NORTHWEST SAN PEDRO NC,HARBOR
1-870705541,01/01/2018 01:13:44 AM,01/02/2018 09:20:02 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,NEGB_ELA,01/02/2018 09:18:54 AM,01/02/2018 09:20:01 AM,Y,N,"520 W AVENUE 26, 90065",520,W,AVENUE 26,,90065,34.0842554151,-118.223163965,POINT (-118.223163965 34.0842554151),594,J,6,East Los Angeles APC,1,Gilbert Cedillo,102,GREATER CYPRESS PARK NC,NORTHEAST
1-870712821,01/01/2018 01:17:23 AM,01/03/2018 01:14:38 PM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,NC,01/03/2018 12:00:00 AM,01/03/2018 01:12:29 PM,Y,N,"520 W AVENUE 26, 90065",520,W,AVENUE 26,,90065,34.0842554151,-118.223163965,POINT (-118.223163965 34.0842554151),594,J,6,East Los Angeles APC,1,Gilbert Cedillo,102,GREATER CYPRESS PARK NC,NORTHEAST
1-870705651,01/01/2018 01:21:40 AM,01/03/2018 09:14:06 AM,SR Created,BOS,Homeless Encampment,Closed,Self Service,,N,NC,01/03/2018 12:00:00 AM,01/03/2018 09:04:15 AM,Y,N,"2619 N FIGUEROA ST, 90065",2619,N,FIGUEROA,ST,90065,34.0843686726,-118.222055625,POINT (-118.222055625 34.0843686726),594,J,6,East Los Angeles APC,1,Gilbert Cedillo,102,GREATER CYPRESS PARK NC,NORTHEAST
1-870707121,01/01/2018 01:26:30 AM,01/02/2018 01:09:13 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,NEGB_ELA,01/02/2018 01:08:35 PM,01/02/2018 01:09:13 PM,Y,N,"2619 N FIGUEROA ST, 90065",2619,N,FIGUEROA,ST,90065,34.0843686726,-118.222055625,POINT (-118.222055625 34.0843686726),594,J,6,East Los Angeles APC,1,Gilbert Cedillo,102,GREATER CYPRESS PARK NC,NORTHEAST
1-870712916,01/01/2018 01:31:14 AM,01/05/2018 08:45:56 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,GAPBH,01/02/2018 08:41:54 AM,01/05/2018 08:45:55 AM,Y,N,"401 S LORENA ST, 90063",401,S,LORENA,ST,90063,34.0339141951,-118.197326775,POINT (-118.197326775 34.0339141951),635,C,6,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-870705766,01/01/2018 01:32:46 AM,01/04/2018 10:51:04 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,GAPBH,01/02/2018 10:49:17 AM,01/04/2018 10:51:03 AM,Y,N,"3403 E 4TH ST, 90063",3403,E,4TH,ST,90063,34.034031929,-118.196715179,POINT (-118.196715179 34.034031929),635,C,6,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-870707235,01/01/2018 01:34:53 AM,01/02/2018 04:58:41 PM,SR Created,OCB,Graffiti Removal,Cancelled,Mobile App,iOS,Y,WVA,01/02/2018 04:58:18 PM,01/02/2018 04:58:40 PM,Y,N,"22944 W ENADIA WAY, 91307",22944,W,ENADIA,WAY,91307,34.1999076513,-118.627238412,POINT (-118.627238412 34.1999076513),529,G,5,South Valley APC,12,Mitchell Englander,11,WEST HILLS NC,TOPANGA
1-870714891,01/01/2018 01:41:38 AM,01/06/2018 09:35:01 AM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,Y,WV,01/06/2018 12:00:00 AM,01/06/2018 09:32:08 AM,Y,,"7155 N ROYER AVE, 91307",7155,N,ROYER,AVE,91307,34.200590604,-118.627993448,POINT (-118.627993448 34.200590604),529,G,5,South Valley APC,12,Mitchell Englander,11,WEST HILLS NC,TOPANGA
1-870714962,01/01/2018 01:43:35 AM,01/02/2018 04:57:54 PM,SR Created,OCB,Graffiti Removal,Cancelled,Mobile App,iOS,Y,WVA,01/02/2018 04:57:01 PM,01/02/2018 04:57:53 PM,Y,N,"22944 W ENADIA WAY, 91307",22944,W,ENADIA,WAY,91307,34.1999076513,-118.627238412,POINT (-118.627238412 34.1999076513),529,G,5,South Valley APC,12,Mitchell Englander,11,WEST HILLS NC,TOPANGA
1-870715064,01/01/2018 01:50:45 AM,03/20/2018 03:25:20 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,iOS,Y,WV,03/12/2018 12:00:00 AM,03/20/2018 03:25:19 PM,Y,N,"7240 N MEDICAL CENTER DR, 91307",7240,N,MEDICAL CENTER,DR,91307,34.2022411582,-118.629321605,POINT (-118.629321605 34.2022411582),529,G,5,South Valley APC,12,Mitchell Englander,11,WEST HILLS NC,TOPANGA
1-870715171,01/01/2018 01:53:27 AM,01/05/2018 02:05:56 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,,N,EV,01/05/2018 12:00:00 AM,01/05/2018 02:05:56 PM,Y,N,"14115 W CHASE ST, 91402",14115,W,CHASE,ST,91402,34.2253953453,-118.441111188,POINT (-118.441111188 34.2253953453),532,B,1,North Valley APC,6,Nury Martinez,100,PANORAMA CITY NC,MISSION
1-870707501,01/01/2018 02:11:28 AM,01/05/2018 10:08:03 AM,SR Created,BOS,Bulky Items,Closed,Self Service,,N,NC,01/05/2018 12:00:00 AM,01/05/2018 10:08:02 AM,Y,N,"LYMAN PL AT LEXINGTON AVE, 90029",,,,,90029,34.0934486797,-118.288708036,POINT (-118.288708036 34.0934486797),594,A,5,Central APC,13,Mitch O'Farrell,34,EAST HOLLYWOOD NC,NORTHEAST
1-870715276,01/01/2018 02:17:12 AM,01/02/2018 05:30:45 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,WV,01/02/2018 12:00:00 AM,01/02/2018 05:30:45 PM,Y,,"18597 W CALLE VISTA CIR, 91326",18597,W,CALLE VISTA,CIR,91326,34.2815379835,-118.536358769,POINT (-118.536358769 34.2815379835),500,J,1,North Valley APC,12,Mitchell Englander,114,PORTER RANCH NC,DEVONSHIRE
1-870711331,01/01/2018 02:26:03 AM,01/08/2018 09:18:27 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,NC,01/08/2018 12:00:00 AM,01/08/2018 09:18:27 AM,Y,,"535 S HOBART BLVD, 90020",535,S,HOBART,BLVD,90020,34.0642292278,-118.305554634,POINT (-118.305554634 34.0642292278),633,H,2,Central APC,10,Herb J. Wesson Jr.,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-870713223,01/01/2018 02:26:03 AM,01/06/2018 08:21:36 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,NC,01/06/2018 12:00:00 AM,01/06/2018 08:21:35 AM,Y,,"535 S HOBART BLVD, 90020",535,S,HOBART,BLVD,90020,34.0642292278,-118.305554634,POINT (-118.305554634 34.0642292278),633,H,2,Central APC,10,Herb J. Wesson Jr.,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-870715381,01/01/2018 02:46:54 AM,01/01/2018 01:37:26 PM,SR Created,ITA,Other,Cancelled,Mobile App,iOS,Y,,,01/01/2018 01:37:26 PM,Y,N,"9401 N NAGLE AVE, 91331",9401,N,NAGLE,AVE,91331,34.2402996255,-118.437218136,POINT (-118.437218136 34.2402996255),502,B,6,North Valley APC,6,Nury Martinez,6,ARLETA NC,MISSION
1-870707671,01/01/2018 03:13:39 AM,01/02/2018 01:24:29 PM,SR Created,BOS,Dead Animal Removal,Closed,Mobile App,iOS,Y,WLA,,01/02/2018 01:24:29 PM,Y,,"1625 N FAIRFAX AVE, 90046",1625,N,FAIRFAX,AVE,90046,34.1006604818,-118.361916323,POINT (-118.361916323 34.1006604818),593,B,4,Central APC,4,David Ryu,29,HOLLYWOOD HILLS WEST NC,HOLLYWOOD
1-870715521,01/01/2018 03:21:26 AM,01/01/2018 01:40:49 PM,SR Created,ITA,Other,Closed,Mobile App,iOS,N,,,01/01/2018 01:40:47 PM,Y,N,"10941 W CROCKETT ST, 91352",10941,W,CROCKETT,ST,91352,34.2209581989,-118.369219873,POINT (-118.369219873 34.2209581989),533,A,2,North Valley APC,6,Nury Martinez,8,SUN VALLEY AREA NC,FOOTHILL
1-870711501,01/01/2018 03:27:53 AM,01/01/2018 01:41:42 PM,SR Created,ITA,Other,Cancelled,Mobile App,iOS,Y,,,01/01/2018 01:41:42 PM,Y,N,"10935 W CROCKETT ST, 91352",10935,W,CROCKETT,ST,91352,34.2208587569,-118.369038436,POINT (-118.369038436 34.2208587569),533,A,2,North Valley APC,6,Nury Martinez,8,SUN VALLEY AREA NC,FOOTHILL
1-870711542,01/01/2018 03:31:24 AM,01/01/2018 01:42:41 PM,SR Created,ITA,Other,Cancelled,Mobile App,Android,Y,,,01/01/2018 01:42:41 PM,Y,N,"1814 N WORKMAN ST, 90031",1814,N,WORKMAN,ST,90031,34.0642368033,-118.21400526,POINT (-118.21400526 34.0642368033),635,A,2,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK
1-870715576,01/01/2018 03:31:24 AM,01/01/2018 01:43:33 PM,SR Created,ITA,Other,Cancelled,Mobile App,iOS,Y,,,01/01/2018 01:43:33 PM,Y,N,"10941 W CROCKETT ST, 91352",10941,W,CROCKETT,ST,91352,34.2209581989,-118.369219873,POINT (-118.369219873 34.2209581989),533,A,2,North Valley APC,6,Nury Martinez,8,SUN VALLEY AREA NC,FOOTHILL
1-870715599,01/01/2018 03:31:24 AM,01/01/2018 01:44:10 PM,SR Created,ITA,Other,Cancelled,Mobile App,iOS,Y,,,01/01/2018 01:44:10 PM,Y,N,"10941 W CROCKETT ST, 91352",10941,W,CROCKETT,ST,91352,34.2209581989,-118.369219873,POINT (-118.369219873 34.2209581989),533,A,2,North Valley APC,6,Nury Martinez,8,SUN VALLEY AREA NC,FOOTHILL
1-870713451,01/01/2018 04:05:16 AM,01/02/2018 02:49:10 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,SLA,01/02/2018 12:00:00 AM,01/02/2018 02:49:10 PM,Y,,"2683 S ORCHARD AVE, 90007",2683,S,ORCHARD,AVE,90007,34.0304093202,-118.287636429,POINT (-118.287636429 34.0304093202),634,B,7,South Los Angeles APC,9,Curren D. Price Jr.,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-870711651,01/01/2018 05:39:23 AM,01/02/2018 01:20:10 PM,SR Created,BOS,Dead Animal Removal,Closed,Self Service,,N,NC,,01/02/2018 01:20:09 PM,Y,Y,"450 N GRAND AVE, 90012",450,N,GRAND,AVE,90012,34.0598902779,-118.244464355,POINT (-118.244464355 34.0598902779),634,F,3,Central APC,1,Gilbert Cedillo,46,HISTORIC CULTURAL NC,CENTRAL
1-870713571,01/01/2018 05:56:51 AM,01/09/2018 10:47:31 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,,N,SLABT,01/06/2018 10:45:08 AM,01/09/2018 10:47:31 AM,Y,N,"4228 S VERMONT AVE, 90037",4228,S,VERMONT,AVE,90037,34.0065416454,-118.291408878,POINT (-118.291408878 34.0065416454),674,A,3,South Los Angeles APC,9,Curren D. Price Jr.,109,VOICES OF 90037,SOUTHWEST
