NAME,state,county,tract,GEO_ID,Total population
"Census Tract 1997, Los Angeles County, California",6,37,199700,1400000US06037199700,3006
"Census Tract 1998.01, Los Angeles County, California",6,37,199801,1400000US06037199801,3618
"Census Tract 1998.02, Los Angeles County, California",6,37,199802,1400000US06037199802,2419
"Census Tract 1999, Los Angeles County, California",6,37,199900,1400000US06037199900,2687
"Census Tract 2011.10, Los Angeles County, California",6,37,201110,1400000US06037201110,2203
"Census Tract 2011.20, Los Angeles County, California",6,37,201120,1400000US06037201120,4043
"Census Tract 2012, Los Angeles County, California",6,37,201200,1400000US06037201200,2709
"Census Tract 2013.01, Los Angeles County, California",6,37,201301,1400000US06037201301,4377
"Census Tract 2013.02, Los Angeles County, California",6,37,201302,1400000US06037201302,4247
"Census Tract 2014.01, Los Angeles County, California",6,37,201401,1400000US06037201401,4568
"Census Tract 2014.02, Los Angeles County, California",6,37,201402,1400000US06037201402,4800
"Census Tract 2015.01, Los Angeles County, California",6,37,201501,1400000US06037201501,5560
"Census Tract 2015.03, Los Angeles County, California",6,37,201503,1400000US06037201503,3330
"Census Tract 2015.04, Los Angeles County, California",6,37,201504,1400000US06037201504,2151
"Census Tract 2016.01, Los Angeles County, California",6,37,201601,1400000US06037201601,2445
"Census Tract 2016.02, Los Angeles County, California",6,37,201602,1400000US06037201602,2971
"Census Tract 2017, Los Angeles County, California",6,37,201700,1400000US06037201700,5194
"Census Tract 2031, Los Angeles County, California",6,37,203100,1400000US06037203100,4615
"Census Tract 2032, Los Angeles County, California",6,37,203200,1400000US06037203200,5631
"Census Tract 2033, Los Angeles County, California",6,37,203300,1400000US06037203300,1899
"Census Tract 2035, Los Angeles County, California",6,37,203500,1400000US06037203500,3153
"Census Tract 2036.01, Los Angeles County, California",6,37,203601,1400000US06037203601,2943
"Census Tract 2036.02, Los Angeles County, California",6,37,203602,1400000US06037203602,1873
"Census Tract 2037.10, Los Angeles County, California",6,37,203710,1400000US06037203710,3636
"Census Tract 2037.20, Los Angeles County, California",6,37,203720,1400000US06037203720,4014
"Census Tract 2038, Los Angeles County, California",6,37,203800,1400000US06037203800,4803
"Census Tract 2039, Los Angeles County, California",6,37,203900,1400000US06037203900,3206
"Census Tract 2041.10, Los Angeles County, California",6,37,204110,1400000US06037204110,3493
"Census Tract 2041.20, Los Angeles County, California",6,37,204120,1400000US06037204120,2925
"Census Tract 2042, Los Angeles County, California",6,37,204200,1400000US06037204200,3621
"Census Tract 2043, Los Angeles County, California",6,37,204300,1400000US06037204300,5714
"Census Tract 2044.10, Los Angeles County, California",6,37,204410,1400000US06037204410,2791
"Census Tract 2044.20, Los Angeles County, California",6,37,204420,1400000US06037204420,2951
"Census Tract 2046, Los Angeles County, California",6,37,204600,1400000US06037204600,4271
"Census Tract 2047, Los Angeles County, California",6,37,204700,1400000US06037204700,5660
"Census Tract 2048.10, Los Angeles County, California",6,37,204810,1400000US06037204810,4922
"Census Tract 2048.20, Los Angeles County, California",6,37,204820,1400000US06037204820,2141
"Census Tract 2049.10, Los Angeles County, California",6,37,204910,1400000US06037204910,3494
"Census Tract 2049.20, Los Angeles County, California",6,37,204920,1400000US06037204920,2796
"Census Tract 2051.10, Los Angeles County, California",6,37,205110,1400000US06037205110,3697
"Census Tract 2051.20, Los Angeles County, California",6,37,205120,1400000US06037205120,3754
"Census Tract 2060.10, Los Angeles County, California",6,37,206010,1400000US06037206010,3966
"Census Tract 2060.20, Los Angeles County, California",6,37,206020,1400000US06037206020,9476
"Census Tract 2060.50, Los Angeles County, California",6,37,206050,1400000US06037206050,2192
"Census Tract 4027.05, Los Angeles County, California",6,37,402705,1400000US06037402705,3388
"Census Tract 4027.06, Los Angeles County, California",6,37,402706,1400000US06037402706,3562
"Census Tract 4028.01, Los Angeles County, California",6,37,402801,1400000US06037402801,4837
"Census Tract 4028.03, Los Angeles County, California",6,37,402803,1400000US06037402803,3415
"Census Tract 4028.04, Los Angeles County, California",6,37,402804,1400000US06037402804,4280
"Census Tract 4029.02, Los Angeles County, California",6,37,402902,1400000US06037402902,7336
"Census Tract 4029.03, Los Angeles County, California",6,37,402903,1400000US06037402903,3912
"Census Tract 4029.04, Los Angeles County, California",6,37,402904,1400000US06037402904,3644
"Census Tract 4030, Los Angeles County, California",6,37,403000,1400000US06037403000,7003
"Census Tract 4033.05, Los Angeles County, California",6,37,403305,1400000US06037403305,2285
"Census Tract 4033.16, Los Angeles County, California",6,37,403316,1400000US06037403316,7183
"Census Tract 4033.17, Los Angeles County, California",6,37,403317,1400000US06037403317,5272
"Census Tract 4033.18, Los Angeles County, California",6,37,403318,1400000US06037403318,5938
"Census Tract 4033.19, Los Angeles County, California",6,37,403319,1400000US06037403319,4355
"Census Tract 4033.20, Los Angeles County, California",6,37,403320,1400000US06037403320,5040
"Census Tract 4033.21, Los Angeles County, California",6,37,403321,1400000US06037403321,5715
"Census Tract 4033.23, Los Angeles County, California",6,37,403323,1400000US06037403323,5540
"Census Tract 4033.24, Los Angeles County, California",6,37,403324,1400000US06037403324,7357
"Census Tract 4033.25, Los Angeles County, California",6,37,403325,1400000US06037403325,5214
